lat,lng,elevation
2.323,33.2502,1041.7605
2.3231,33.2502,1041.8896
2.3183,33.2503,1041.9303
2.3184,33.2503,1041.8926
2.3185,33.2503,1041.8547
2.3186,33.2503,1041.817
2.3187,33.2503,1041.7793
2.3188,33.2503,1041.7416
2.3189,33.2503,1041.635
2.319,33.2503,1041.5271
2.3191,33.2503,1041.4192
2.3192,33.2503,1041.3113
2.3193,33.2503,1041.2034
2.3194,33.2503,1041.0955
2.3195,33.2503,1040.9666
2.3196,33.2503,1040.6753
2.3197,33.2503,1040.384
2.3198,33.2503,1040.0928
2.3199,33.2503,1039.8015
2.32,33.2503,1039.5103
2.3201,33.2503,1039.219
2.3202,33.2503,1038.9545
2.3203,33.2503,1038.7711
2.3204,33.2503,1038.5878
2.3205,33.2503,1038.4043
2.3206,33.2503,1038.2209
2.3207,33.2503,1038.0376
2.3208,33.2503,1037.8542
2.3209,33.2503,1037.712
2.321,33.2503,1037.6366
2.3211,33.2503,1037.5612
2.3212,33.2503,1037.4856
2.3213,33.2503,1037.4102
2.3214,33.2503,1037.3347
2.3215,33.2503,1037.2592
2.3216,33.2503,1037.3727
2.3217,33.2503,1037.6639
2.3218,33.2503,1037.9553
2.3219,33.2503,1038.2466
2.322,33.2503,1038.5378
2.3221,33.2503,1038.8291
2.3222,33.2503,1039.1204
2.3223,33.2503,1039.4116
2.3224,33.2503,1039.7029
2.3225,33.2503,1039.9941
2.3226,33.2503,1040.2854
2.3227,33.2503,1040.5767
2.3228,33.2503,1040.868
2.3229,33.2503,1041.1593
2.323,33.2503,1041.307
2.3231,33.2503,1041.4149
2.3232,33.2503,1041.5228
2.3233,33.2503,1041.6307
2.3234,33.2503,1041.7386
2.3235,33.2503,1041.8466
2.3236,33.2503,1041.9545
2.3182,33.2504,1041.9501
2.3183,33.2504,1041.8911
2.3184,33.2504,1041.8322
2.3185,33.2504,1041.7732
2.3186,33.2504,1041.7142
